DATE,TIME,APP
08/06/2025,02:09:02,CLIP STUDIO PAINT
08/06/2025,02:13:39,CLIP STUDIO PAINT
08/06/2025,03:38:45,"CLIP STUDIO, DeepSeek - Into the Unknown - Brave, timetracker_new_interface.py - worktime - Trae"
09/06/2025,21:38:14,❱ Cine Callzinha | igluu do Guuache - Discord
09/06/2025,21:38:31,❱ Cine Callzinha | igluu do Guuache - Discord
09/06/2025,21:39:17,❱ Cine Callzinha | igluu do Guuache - Discord
09/06/2025,21:44:20,"❱ Cine Callzinha | igluu do Guuache - Discord, (8) YouTube - Brave"
09/06/2025,21:45:00,"❱ Cine Callzinha | igluu do Guuache - Discord, (8) YouTube - Brave, timetracker_new_interface.py - worktime - Trae"
20/06/2025,00:39:46,deepseek.py - worktime - Trae,00:00:17
20/06/2025,00:41:28,"deepseek.py - worktime - Trae, DeepSeek - Into the Unknown - Brave, Inicializador da Epic Games",00:00:02
20/06/2025,00:41:37,"deepseek.py - worktime - Trae, DeepSeek - Into the Unknown - Brave, Inicializador da Epic Games",00:00:03
20/06/2025,00:45:45,deepseek.py - worktime - Trae,00:00:07
20/06/2025,01:10:25,"deepseek.py - worktime - Trae, ❱ DE CALLZ | igluu do Guuache - Discord, ❱ DE CALLZ | igluu do Guuache - Discord",00:00:09
20/06/2025,01:33:44,"deepseek.py - worktime - Trae, clip studio",00:00:07
20/06/2025,01:34:32,"deepseek.py - worktime - Trae, clip studio",00:00:28
20/06/2025,01:41:11,deepseek.py - worktime - Trae,00:00:06
20/06/2025,01:45:54,DeepSeek - Into the Unknown - Brave,00:00:52
20/06/2025,02:00:31,"deepseek.py - worktime - Trae, DeepSeek - Into the Unknown - Brave, worktime – Explorador de Arquivos",00:00:31
20/06/2025,02:02:22,"Trae, Brave, Bloco de notas",00:00:43
20/06/2025,02:31:30,"deepseek.py - worktime - Trae, * summon minecraftitem_display ~ ~ ~ - Bloco de notas, worktime – Explorador de Arquivos",00:00:04
20/06/2025,03:28:06,teste.py - worktime - Trae,00:00:17
20/06/2025,03:37:35,teste.py - worktime - Trae,00:00:26
23/06/2025,03:12:21,teste.py - worktime - Visual Studio Code,00:00:27
23/06/2025,04:03:57,teste.py - worktime - Visual Studio Code,00:00:29
23/06/2025,04:25:41,"Picture-in-picture, teste.py - worktime - Visual Studio Code, 8BH5fJaLjEG7gAAAAASUVORK5CYII= (780×2150) - Brave",00:00:28
23/06/2025,05:33:05,"Picture-in-picture, teste.py - worktime - Visual Studio Code, Um momento… - Brave",00:01:01
23/06/2025,05:37:06,"Picture-in-picture, teste.py - worktime - Visual Studio Code, - Brave",00:01:44
23/06/2025,06:13:48,"teste.py - worktime - Visual Studio Code, - Brave, Choose App",00:01:47
23/06/2025,07:46:30,"app.py - worktime - Visual Studio Code, Choose App, Choose App",00:00:05
23/06/2025,07:47:49,"app.py - worktime - Visual Studio Code, Choose App, Choose App",00:00:06
23/06/2025,07:49:19,"app.py - worktime - Visual Studio Code, PASSEI MAL DE TANTO RIR! - PEAK COM OS AMIGOS - YouTube - Brave, worktime – Explorador de Arquivos",00:00:11
23/06/2025,21:22:32,"app.py - worktime - Visual Studio Code, Choose App, Choose App",00:00:24
24/06/2025,01:17:44,"Application 1, Application 2, Application 3",00:00:00
24/06/2025,01:17:44,"Application 1, Application 2, Application 3",00:00:00
24/06/2025,01:17:45,"Application 1, Application 2, Application 3",00:00:00
24/06/2025,01:17:45,"Application 1, Application 2, Application 3",00:00:00
24/06/2025,01:17:46,"Application 1, Application 2, Application 3",00:00:00
24/06/2025,01:17:46,"Application 1, Application 2, Application 3",00:00:00
24/06/2025,01:17:46,"Application 1, Application 2, Application 3",00:00:00
24/06/2025,01:17:46,"Application 1, Application 2, Application 3",00:00:00
24/06/2025,01:17:46,"Application 1, Application 2, Application 3",00:00:00
24/06/2025,01:17:50,"Application 1, Application 2, Application 3",00:00:00
24/06/2025,01:53:27,"app.py - worktime - Visual Studio Code, Application 2, Application 3",00:00:05
24/06/2025,02:21:00,"app.py - worktime - Visual Studio Code, Application 2, Application 3",00:00:04
24/06/2025,16:28:23,"Vava do stress | Sala da Discórdia - Discord, Application 2, Application 3",00:03:42
24/06/2025,16:34:11,"TelegramDesktop, teste.py - worktime - Visual Studio Code, RODO TREN - Pesquisa Google - Brave",00:00:10
24/06/2025,17:33:13,Carros usados e novos 0km para comprar e vender - SóCarrão - Brave,00:00:21
